term	section	course	instructor	whenWhere
Spring 2022	2958	ART-107	Fisher	NOT AVAILABLE
Spring 2022	1198	ART-108	Fisher	NOT AVAILABLE
Spring 2022	1903	ART-116	Sugita	NOT AVAILABLE
Spring 2022	8057	ART-120	Fisher	NOT AVAILABLE
Spring 2022	8091	ART-121	Fisher	NOT AVAILABLE
Spring 2022	5197	ART-126	Lyons	NOT AVAILABLE
Spring 2022	5217	ART-127	Lyons	NOT AVAILABLE
Spring 2022	8246	ART-126	Huang	NOT AVAILABLE
Spring 2022	9003	ART-126	Godinez	NOT AVAILABLE
Spring 2022	9005	ART-127	Godinez	NOT AVAILABLE
Spring 2022	9008	ART-129	Godinez	NOT AVAILABLE
Spring 2022	2988	ART-146	Dove	NOT AVAILABLE
Spring 2022	2989	ART-147	Dove	NOT AVAILABLE
Spring 2022	8247	ART-146	Dove	NOT AVAILABLE
Spring 2022	8248	ART-147	Dove	NOT AVAILABLE
